HOUSING_ID,QUICKLY_SOLD,AREA_SQUARE_METER,PRICE_EURO,BUILDING_YEAR,NUMBER_ROOMS
1,false,62,921214,1981,1
2,false,70,1284406,1984,3
3,true,65,1050479,1978,3
4,true,123,490381,1971,3
5,false,46,302246,1978,2
6,true,132,688801,1980,3
7,false,68,1352642,2015,1
8,false,98,276995,1983,3
9,false,145,1184743,1973,2
10,false,117,709523,2010,2
11,false,93,1242273,1971,1
12,true,73,574924,2012,1
13,false,52,1114851,1971,2
14,true,94,281985,1985,3
15,false,35,214885,2010,1
16,true,113,550921,2010,1
17,false,101,808973,2009,3
18,true,138,227730,1989,2
19,false,147,1270390,1980,1
20,false,79,758572,1982,3
21,true,79,569507,1996,3
22,true,50,728492,2008,3
23,true,63,963048,1974,2
24,false,68,489574,1982,2
25,true,39,734534,1975,3
26,true,124,698665,2011,2
27,false,102,325962,2020,2
28,false,51,960482,1982,3
29,false,72,817157,1974,1
30,true,54,1133642,1980,3
31,true,133,342487,1995,2
32,false,57,570020,2012,3
33,true,45,851626,2015,3
34,false,51,1396256,1996,3
35,false,46,1256861,1984,1
36,true,123,1125628,2007,1
37,false,45,1037727,2004,2
38,true,45,1007782,2009,3
39,false,147,383729,1978,1
40,true,59,406434,2000,3
41,false,67,1360787,1994,3
42,true,141,674017,1990,1
43,true,111,1332935,2011,2
44,false,74,601015,1982,3
45,true,54,850177,2000,3
46,false,122,1427008,2019,1
47,false,36,435433,1974,2
48,false,94,451260,1980,1
49,false,94,1180754,1977,3
50,true,89,813267,2017,1
51,true,32,838450,1992,3
52,false,71,1201741,1978,3
53,true,83,458409,1987,1
54,true,81,491529,2009,1
55,true,66,520267,2012,2
56,false,87,1147400,2011,1
57,true,127,1086173,1978,3
58,true,83,800350,2009,3
59,false,121,498646,1972,3
60,false,31,320080,1993,1
61,true,102,839332,1985,2
62,false,143,933939,2015,1
63,false,131,540452,2011,2
64,false,36,537735,1978,1
65,false,124,1068568,1970,3
66,false,35,222087,1994,3
67,true,131,1345974,1999,1
68,true,138,1493369,1982,3
69,true,48,855987,2020,1
70,false,37,220066,2006,1
71,true,104,1046964,1998,2
72,true,110,1419811,2014,2
73,false,99,1261514,1975,2
74,false,62,450639,1973,2
75,false,38,865411,1973,2
76,true,70,1242972,2017,3
77,false,54,869719,1983,1
78,true,141,1272252,2000,1
79,false,90,442090,1993,2
80,false,98,714485,1972,3
81,true,133,206459,1988,2
82,true,97,717861,2010,1
83,false,104,640307,2020,1
84,false,117,475573,1982,1
85,true,79,1200273,1973,2
86,false,115,242528,1980,1
87,false,95,1428935,1997,2
88,true,138,1368417,2010,1
89,true,106,461665,2009,1
90,false,72,824180,2010,1
91,false,99,731311,1977,3
92,true,136,990722,1970,3
93,false,32,1075349,1998,2
94,true,119,869707,1993,2
95,true,139,935385,2013,2
96,true,48,1027503,1978,3
97,true,37,834679,1984,2
98,false,54,1115844,2012,1
99,false,73,240880,1989,3
100,false,36,750523,1976,1
101,false,136,262495,1978,3
102,false,39,1003325,1991,3
103,true,132,822553,1981,3
104,false,71,1379087,1978,3
105,false,74,222409,1973,3
106,false,98,396196,1983,2
107,true,67,1426830,1976,1
108,false,104,435524,1972,3
109,true,47,494247,1973,1
110,true,60,1427396,1989,2
111,false,45,1237470,1978,1
112,false,140,672821,2002,2
113,false,128,439829,1975,1
114,true,74,261444,1975,2
115,true,76,1172024,2007,3
116,false,57,745572,1985,2
117,true,39,1139533,1991,3
118,true,58,400297,1995,1
119,true,97,1032314,1977,1
120,true,93,482605,1993,2
121,true,145,642328,2011,2
122,false,140,1049656,2012,2
123,false,79,228492,1986,2
124,false,87,823593,1988,3
125,false,123,808046,2015,1
126,false,32,1396239,2008,1
127,true,127,284812,1970,1
128,false,44,1094536,2020,3
129,true,135,1182353,1972,1
130,true,30,1339075,2019,2
131,false,54,439145,1998,3
132,false,106,1491735,2003,1
133,true,135,386396,2012,1
134,false,50,1212254,1983,2
135,false,136,611666,1971,2
136,true,125,1170871,2000,3
137,false,150,336531,1972,2
138,false,48,247550,1971,1
139,false,40,478879,2009,1
140,false,100,1188723,2012,3
141,false,68,1157950,2000,3
142,true,146,315459,2004,3
143,true,98,832309,1982,1
144,false,144,935183,2012,2
145,false,96,1213987,2018,3
146,true,149,1028154,1982,2
147,false,145,500721,1990,3
148,false,93,331574,1987,1
149,true,132,547709,1971,2
150,false,35,777658,2001,2
151,true,34,997039,1971,3
152,false,89,1244576,1998,2
153,false,83,779655,2010,3
154,false,144,847586,2004,3
155,true,111,446479,1970,3
156,true,123,231223,1971,2
157,true,138,1110642,2013,2
158,true,30,978399,1997,3
159,false,109,386717,1973,3
160,true,56,686052,1983,1
161,true,135,462244,2014,2
162,false,59,486995,2001,2
163,true,105,1434964,1986,1
164,true,107,388688,2019,3
165,false,104,1326979,2009,2
